need_id,case_id,need_type,description,urgency
N0001,C0142,Financial,Minor,Medium
N0002,C0205,Financial,Urgent,Medium
N0003,C0082,Financial,Moderate need,High
N0004,C0203,Financial,Urgent,High
N0005,C0887,Medical,Minor,Medium
N0006,C0547,Shelter,Moderate need,Low
N0007,C0658,Shelter,Urgent,Low
N0008,C0395,Medical,Minor,High
N0009,C0396,Shelter,Urgent,Low
N0010,C0153,Food,Urgent,High
N0011,C0661,Financial,Urgent,Low
N0012,C0328,Medical,Urgent,Low
N0013,C0020,Food,Minor,High
N0014,C0244,Financial,Urgent,Low
N0015,C0478,Shelter,Urgent,Low
N0016,C0396,Financial,Moderate need,Low
N0017,C0362,Food,Minor,Medium
N0018,C0737,Medical,Minor,Low
N0019,C0742,Shelter,Minor,High
N0020,C0737,Medical,Moderate need,Low
N0021,C0230,Financial,Urgent,High
N0022,C0112,Medical,Moderate need,Medium
N0023,C0435,Medical,Urgent,Medium
N0024,C0894,Shelter,Moderate need,Medium
N0025,C0432,Shelter,Minor,Medium
N0026,C0729,Financial,Minor,Low
N0027,C0587,Financial,Moderate need,Low
N0028,C0616,Food,Urgent,Medium
N0029,C0862,Medical,Minor,Medium
N0030,C0313,Financial,Urgent,High
N0031,C0401,Financial,Urgent,Medium
N0032,C0237,Medical,Urgent,Medium
N0033,C0824,Shelter,Moderate need,Medium
N0034,C0570,Shelter,Moderate need,Low
N0035,C0877,Financial,Urgent,Low
N0036,C0396,Shelter,Urgent,Low
N0037,C0766,Financial,Urgent,High
N0038,C0568,Financial,Moderate need,Low
N0039,C0165,Medical,Urgent,Low
N0040,C0319,Shelter,Moderate need,Low
N0041,C0328,Shelter,Urgent,Low
N0042,C0841,Shelter,Moderate need,High
N0043,C0270,Financial,Moderate need,High
N0044,C0638,Food,Minor,Low
N0045,C0094,Medical,Urgent,High
N0046,C0201,Food,Moderate need,Low
N0047,C0440,Medical,Minor,Medium
N0048,C0815,Shelter,Moderate need,Medium
N0049,C0214,Medical,Moderate need,Medium
N0050,C0382,Medical,Moderate need,High
N0051,C0445,Food,Moderate need,Medium
N0052,C0201,Food,Minor,Low
N0053,C0592,Medical,Minor,Low
N0054,C0891,Financial,Moderate need,Low
N0055,C0333,Medical,Urgent,High
N0056,C0024,Financial,Minor,High
N0057,C0469,Financial,Moderate need,High
N0058,C0644,Food,Minor,Medium
N0059,C0249,Medical,Urgent,Low
N0060,C0682,Shelter,Moderate need,High
N0061,C0149,Medical,Moderate need,Low
N0062,C0580,Financial,Urgent,Medium
N0063,C0691,Shelter,Urgent,Low
N0064,C0185,Financial,Moderate need,Medium
N0065,C0861,Shelter,Minor,High
N0066,C0069,Medical,Moderate need,High
N0067,C0392,Medical,Urgent,Low
N0068,C0177,Shelter,Urgent,High
N0069,C0776,Financial,Moderate need,High
N0070,C0291,Shelter,Urgent,Low
N0071,C0295,Medical,Minor,Medium
N0072,C0135,Food,Urgent,Medium
N0073,C0037,Financial,Moderate need,High
N0074,C0722,Shelter,Moderate need,Medium
N0075,C0846,Shelter,Minor,Medium
N0076,C0545,Shelter,Minor,Low
N0077,C0442,Shelter,Urgent,High
N0078,C0324,Shelter,Urgent,Medium
N0079,C0375,Financial,Urgent,Medium
N0080,C0535,Food,Minor,Low
N0081,C0009,Financial,Minor,Low
N0082,C0417,Financial,Urgent,Medium
N0083,C0489,Financial,Urgent,Medium
N0084,C0152,Shelter,Urgent,Medium
N0085,C0151,Shelter,Moderate need,Low
N0086,C0864,Financial,Moderate need,Medium
N0087,C0195,Food,Urgent,High
N0088,C0193,Financial,Minor,High
N0089,C0857,Financial,Moderate need,High
N0090,C0003,Food,Minor,Medium
N0091,C0858,Food,Moderate need,High
N0092,C0206,Medical,Urgent,Medium
N0093,C0475,Medical,Minor,Low
N0094,C0647,Shelter,Minor,High
N0095,C0709,Medical,Minor,Low
N0096,C0184,Shelter,Minor,High
N0097,C0137,Medical,Minor,Medium
N0098,C0433,Medical,Moderate need,High
N0099,C0737,Medical,Minor,Low
N0100,C0688,Shelter,Minor,Medium
N0101,C0321,Financial,Moderate need,Medium
N0102,C0665,Shelter,Moderate need,High
N0103,C0263,Medical,Minor,Low
N0104,C0594,Medical,Minor,Low
N0105,C0828,Medical,Minor,Medium
N0106,C0363,Shelter,Moderate need,Low
N0107,C0386,Shelter,Minor,Medium
N0108,C0236,Financial,Moderate need,Low
N0109,C0036,Food,Moderate need,Medium
N0110,C0363,Medical,Urgent,Low
N0111,C0595,Shelter,Moderate need,High
N0112,C0761,Shelter,Moderate need,High
N0113,C0263,Financial,Urgent,Low
N0114,C0786,Shelter,Minor,High
N0115,C0200,Food,Minor,Medium
N0116,C0656,Financial,Moderate need,Medium
N0117,C0560,Financial,Moderate need,Low
N0118,C0622,Medical,Moderate need,Low
N0119,C0851,Financial,Urgent,Low
N0120,C0124,Food,Urgent,Medium
N0121,C0640,Financial,Minor,Low
N0122,C0779,Financial,Moderate need,Low
N0123,C0108,Financial,Minor,Low
N0124,C0591,Food,Minor,Low
N0125,C0082,Shelter,Urgent,Low
N0126,C0698,Financial,Minor,Medium
N0127,C0403,Food,Moderate need,Medium
N0128,C0044,Financial,Minor,High
N0129,C0375,Shelter,Moderate need,Low
N0130,C0757,Shelter,Minor,High
N0131,C0312,Food,Minor,Low
N0132,C0866,Food,Minor,High
N0133,C0036,Food,Urgent,Low
N0134,C0198,Shelter,Urgent,Low
N0135,C0144,Shelter,Urgent,Medium
N0136,C0163,Medical,Minor,Medium
N0137,C0291,Financial,Moderate need,Low
N0138,C0319,Financial,Moderate need,Medium
N0139,C0561,Medical,Urgent,High
N0140,C0310,Food,Minor,Medium
N0141,C0511,Financial,Minor,Medium
N0142,C0488,Shelter,Moderate need,Low
N0143,C0583,Shelter,Minor,High
N0144,C0748,Shelter,Moderate need,High
N0145,C0325,Financial,Minor,High
N0146,C0470,Food,Urgent,High
N0147,C0550,Medical,Moderate need,High
N0148,C0494,Food,Moderate need,Medium
N0149,C0570,Food,Urgent,High
N0150,C0344,Financial,Minor,Low
N0151,C0469,Medical,Urgent,Medium
N0152,C0147,Shelter,Urgent,Low
N0153,C0651,Medical,Minor,High
N0154,C0735,Financial,Minor,Low
N0155,C0247,Food,Minor,Low
N0156,C0252,Financial,Urgent,Medium
N0157,C0101,Medical,Moderate need,High
N0158,C0709,Shelter,Urgent,High
N0159,C0334,Medical,Urgent,High
N0160,C0526,Food,Minor,High
N0161,C0834,Financial,Urgent,Medium
N0162,C0645,Financial,Urgent,Medium
N0163,C0217,Shelter,Minor,Medium
N0164,C0775,Medical,Urgent,High
N0165,C0558,Medical,Minor,High
N0166,C0684,Medical,Moderate need,High
N0167,C0416,Medical,Moderate need,Low
N0168,C0804,Medical,Urgent,High
N0169,C0253,Medical,Minor,Low
N0170,C0625,Medical,Moderate need,Low
N0171,C0866,Medical,Moderate need,High
N0172,C0865,Food,Moderate need,Low
N0173,C0063,Food,Urgent,Medium
N0174,C0039,Shelter,Moderate need,Medium
N0175,C0009,Medical,Minor,Medium
N0176,C0605,Medical,Moderate need,High
N0177,C0246,Food,Minor,Medium
N0178,C0333,Food,Minor,Medium
N0179,C0201,Financial,Moderate need,Medium
N0180,C0525,Medical,Moderate need,Low
N0181,C0063,Food,Minor,Medium
N0182,C0220,Shelter,Moderate need,Medium
N0183,C0387,Food,Urgent,Medium
N0184,C0441,Financial,Moderate need,Low
N0185,C0449,Food,Urgent,Low
N0186,C0327,Food,Minor,Medium
N0187,C0806,Medical,Moderate need,Low
N0188,C0718,Food,Moderate need,Medium
N0189,C0406,Medical,Moderate need,Medium
N0190,C0557,Financial,Moderate need,Low
N0191,C0545,Food,Minor,Low
N0192,C0300,Financial,Urgent,Low
N0193,C0285,Shelter,Urgent,Medium
N0194,C0215,Financial,Urgent,High
N0195,C0544,Shelter,Minor,High
N0196,C0472,Food,Minor,High
N0197,C0777,Financial,Minor,Medium
N0198,C0491,Medical,Minor,Low
N0199,C0441,Medical,Moderate need,Low
N0200,C0369,Medical,Urgent,Low
N0201,C0181,Financial,Moderate need,Medium
N0202,C0462,Food,Moderate need,High
N0203,C0413,Food,Moderate need,High
N0204,C0200,Food,Moderate need,Low
N0205,C0029,Food,Minor,High
N0206,C0384,Shelter,Urgent,Low
N0207,C0397,Financial,Moderate need,Medium
N0208,C0253,Shelter,Urgent,Medium
N0209,C0182,Medical,Moderate need,Medium
N0210,C0276,Food,Urgent,Low
N0211,C0611,Shelter,Minor,Low
N0212,C0565,Shelter,Minor,Low
N0213,C0690,Shelter,Minor,Low
N0214,C0185,Medical,Moderate need,High
N0215,C0013,Food,Minor,Medium
N0216,C0706,Financial,Moderate need,Low
N0217,C0314,Food,Moderate need,Low
N0218,C0164,Shelter,Moderate need,High
N0219,C0540,Food,Minor,Medium
N0220,C0330,Financial,Moderate need,Low
N0221,C0691,Food,Urgent,High
N0222,C0501,Medical,Minor,Medium
N0223,C0445,Shelter,Moderate need,Low
N0224,C0291,Food,Moderate need,Low
N0225,C0189,Financial,Moderate need,Medium
N0226,C0255,Shelter,Urgent,High
N0227,C0703,Medical,Moderate need,Medium
N0228,C0882,Financial,Urgent,High
N0229,C0473,Medical,Minor,Medium
N0230,C0588,Food,Moderate need,High
N0231,C0742,Medical,Moderate need,Medium
N0232,C0547,Medical,Minor,Medium
N0233,C0883,Medical,Minor,Medium
N0234,C0111,Shelter,Minor,Low
N0235,C0419,Food,Moderate need,Medium
N0236,C0114,Shelter,Urgent,Medium
N0237,C0365,Food,Urgent,Low
N0238,C0494,Food,Moderate need,High
N0239,C0053,Medical,Minor,Medium
N0240,C0718,Medical,Minor,High
N0241,C0313,Medical,Minor,High
N0242,C0278,Food,Urgent,Medium
N0243,C0010,Shelter,Moderate need,Medium
N0244,C0158,Food,Minor,Medium
N0245,C0101,Shelter,Urgent,Low
N0246,C0820,Medical,Minor,High
N0247,C0203,Medical,Minor,High
N0248,C0240,Food,Urgent,Low
N0249,C0847,Shelter,Urgent,High
N0250,C0483,Financial,Minor,High
N0251,C0621,Shelter,Minor,High
N0252,C0728,Financial,Moderate need,High
N0253,C0301,Shelter,Minor,Medium
N0254,C0843,Financial,Minor,Low
N0255,C0350,Medical,Urgent,Low
N0256,C0644,Food,Minor,Low
N0257,C0267,Financial,Moderate need,High
N0258,C0027,Shelter,Minor,Low
N0259,C0773,Shelter,Minor,Medium
N0260,C0486,Medical,Urgent,High
N0261,C0618,Financial,Minor,High
N0262,C0649,Shelter,Moderate need,Low
N0263,C0132,Shelter,Moderate need,Medium
N0264,C0524,Shelter,Moderate need,Medium
N0265,C0287,Financial,Urgent,High
N0266,C0117,Food,Urgent,Low
N0267,C0296,Shelter,Urgent,Low
N0268,C0203,Shelter,Urgent,Low
N0269,C0671,Shelter,Minor,Medium
N0270,C0829,Financial,Urgent,Low
N0271,C0132,Food,Minor,High
N0272,C0723,Shelter,Minor,Medium
N0273,C0122,Food,Minor,Medium
N0274,C0072,Financial,Minor,Low
N0275,C0447,Financial,Urgent,High
N0276,C0779,Financial,Minor,Low
N0277,C0397,Financial,Urgent,Low
N0278,C0528,Food,Urgent,High
N0279,C0004,Food,Minor,Medium
N0280,C0296,Medical,Moderate need,Low
N0281,C0157,Food,Moderate need,Low
N0282,C0075,Medical,Minor,Low
N0283,C0620,Financial,Minor,High
N0284,C0733,Financial,Minor,Low
N0285,C0078,Medical,Minor,Medium
N0286,C0287,Shelter,Minor,High
N0287,C0613,Medical,Urgent,Medium
N0288,C0369,Food,Urgent,High
N0289,C0695,Medical,Urgent,High
N0290,C0620,Medical,Minor,High
N0291,C0664,Food,Minor,High
N0292,C0889,Shelter,Urgent,High
N0293,C0396,Medical,Urgent,Medium
N0294,C0530,Shelter,Moderate need,Low
N0295,C0791,Shelter,Urgent,Medium
N0296,C0790,Shelter,Urgent,Low
N0297,C0381,Financial,Urgent,Medium
N0298,C0533,Food,Minor,Medium
N0299,C0613,Financial,Urgent,High
N0300,C0108,Food,Moderate need,Medium
N0301,C0637,Financial,Moderate need,Medium
N0302,C0315,Financial,Moderate need,Medium
N0303,C0670,Shelter,Moderate need,High
N0304,C0428,Food,Moderate need,Medium
N0305,C0627,Food,Moderate need,Low
N0306,C0636,Medical,Minor,High
N0307,C0208,Financial,Moderate need,Low
N0308,C0684,Food,Urgent,Medium
N0309,C0258,Financial,Minor,Low
N0310,C0853,Food,Minor,Low
N0311,C0699,Shelter,Moderate need,Low
N0312,C0444,Shelter,Minor,Medium
N0313,C0162,Shelter,Urgent,Medium
N0314,C0613,Shelter,Urgent,High
N0315,C0519,Medical,Minor,Low
N0316,C0390,Shelter,Urgent,Low
N0317,C0158,Financial,Moderate need,Low
N0318,C0113,Medical,Moderate need,Low
N0319,C0302,Food,Minor,Low
N0320,C0193,Food,Urgent,High
N0321,C0138,Shelter,Urgent,Low
N0322,C0548,Shelter,Moderate need,High
N0323,C0707,Shelter,Moderate need,Low
N0324,C0384,Shelter,Urgent,Medium
N0325,C0459,Shelter,Moderate need,Low
N0326,C0734,Medical,Minor,Medium
N0327,C0619,Medical,Urgent,High
N0328,C0607,Financial,Urgent,Medium
N0329,C0319,Food,Urgent,Medium
N0330,C0050,Financial,Moderate need,Low
N0331,C0030,Shelter,Minor,High
N0332,C0447,Food,Urgent,High
N0333,C0426,Financial,Moderate need,Low
N0334,C0391,Financial,Urgent,High
N0335,C0232,Shelter,Moderate need,Medium
N0336,C0577,Medical,Moderate need,High
N0337,C0601,Shelter,Minor,Medium
N0338,C0540,Medical,Minor,Medium
N0339,C0390,Shelter,Urgent,Low
N0340,C0351,Financial,Minor,Low
N0341,C0119,Financial,Moderate need,High
N0342,C0514,Medical,Urgent,Low
N0343,C0161,Shelter,Urgent,Low
N0344,C0378,Shelter,Urgent,Low
N0345,C0841,Financial,Urgent,Low
N0346,C0735,Medical,Minor,High
N0347,C0895,Food,Moderate need,Low
N0348,C0719,Shelter,Moderate need,High
N0349,C0900,Medical,Moderate need,Low
N0350,C0570,Shelter,Urgent,Medium
N0351,C0503,Financial,Minor,Low
N0352,C0802,Shelter,Minor,Low
N0353,C0858,Medical,Minor,High
N0354,C0833,Shelter,Minor,Medium
N0355,C0076,Medical,Minor,Medium
N0356,C0468,Shelter,Minor,Medium
N0357,C0212,Financial,Minor,High
N0358,C0482,Shelter,Urgent,Medium
N0359,C0810,Shelter,Urgent,Low
N0360,C0108,Shelter,Urgent,Medium
N0361,C0206,Food,Minor,Medium
N0362,C0442,Shelter,Urgent,High
N0363,C0506,Shelter,Minor,Low
N0364,C0047,Financial,Moderate need,Low
N0365,C0594,Medical,Moderate need,Low
N0366,C0470,Financial,Minor,Medium
N0367,C0325,Food,Moderate need,High
N0368,C0249,Food,Minor,Medium
N0369,C0021,Medical,Minor,Medium
N0370,C0100,Shelter,Urgent,High
N0371,C0463,Financial,Moderate need,Low
N0372,C0717,Medical,Minor,Medium
N0373,C0350,Financial,Urgent,Medium
N0374,C0056,Shelter,Minor,Low
N0375,C0600,Shelter,Urgent,High
N0376,C0781,Medical,Minor,Low
N0377,C0774,Financial,Urgent,High
N0378,C0636,Financial,Moderate need,Medium
N0379,C0825,Shelter,Moderate need,Low
N0380,C0313,Shelter,Minor,Medium
N0381,C0697,Shelter,Moderate need,Medium
N0382,C0412,Shelter,Moderate need,Medium
N0383,C0346,Shelter,Urgent,High
N0384,C0299,Shelter,Urgent,Medium
N0385,C0483,Shelter,Moderate need,Medium
N0386,C0219,Food,Minor,High
N0387,C0288,Food,Urgent,High
N0388,C0452,Shelter,Moderate need,High
N0389,C0010,Food,Urgent,Medium
N0390,C0825,Shelter,Urgent,Medium
N0391,C0697,Financial,Moderate need,Low
N0392,C0456,Food,Moderate need,Medium
N0393,C0024,Financial,Moderate need,Medium
N0394,C0379,Medical,Urgent,Medium
N0395,C0602,Shelter,Moderate need,High
N0396,C0864,Medical,Urgent,High
N0397,C0580,Food,Urgent,Medium
N0398,C0499,Financial,Urgent,High
N0399,C0827,Shelter,Minor,High
N0400,C0703,Food,Minor,Medium
N0401,C0821,Shelter,Minor,High
N0402,C0394,Food,Moderate need,Low
N0403,C0104,Medical,Urgent,Medium
N0404,C0414,Shelter,Minor,High
N0405,C0190,Food,Urgent,High
N0406,C0310,Financial,Minor,Low
N0407,C0113,Financial,Urgent,High
N0408,C0591,Food,Moderate need,Medium
N0409,C0644,Financial,Minor,Medium
N0410,C0711,Financial,Urgent,High
N0411,C0704,Financial,Moderate need,High
N0412,C0679,Financial,Urgent,Low
N0413,C0201,Medical,Moderate need,Low
N0414,C0341,Financial,Urgent,High
N0415,C0556,Shelter,Minor,Medium
N0416,C0368,Medical,Urgent,Low
N0417,C0644,Medical,Minor,Low
N0418,C0627,Medical,Minor,Medium
N0419,C0249,Financial,Minor,Low
N0420,C0474,Medical,Minor,Low
N0421,C0176,Medical,Urgent,Medium
N0422,C0298,Medical,Moderate need,Medium
N0423,C0258,Food,Minor,Low
N0424,C0086,Medical,Urgent,High
N0425,C0661,Shelter,Urgent,Medium
N0426,C0828,Shelter,Minor,High
N0427,C0346,Medical,Urgent,High
N0428,C0634,Shelter,Moderate need,Medium
N0429,C0775,Shelter,Urgent,High
N0430,C0111,Shelter,Minor,High
N0431,C0342,Medical,Moderate need,High
N0432,C0005,Financial,Moderate need,Medium
N0433,C0780,Shelter,Urgent,Low
N0434,C0079,Medical,Minor,High
N0435,C0424,Shelter,Moderate need,Medium
N0436,C0258,Shelter,Urgent,Low
N0437,C0618,Shelter,Minor,Medium
N0438,C0667,Food,Minor,High
N0439,C0414,Food,Moderate need,Medium
N0440,C0179,Food,Minor,Medium
N0441,C0008,Financial,Urgent,Low
N0442,C0886,Shelter,Moderate need,Medium
N0443,C0880,Medical,Urgent,High
N0444,C0312,Financial,Minor,Medium
N0445,C0341,Financial,Urgent,Low
N0446,C0642,Food,Moderate need,Medium
N0447,C0537,Shelter,Moderate need,High
N0448,C0292,Medical,Moderate need,Medium
N0449,C0522,Food,Minor,High
N0450,C0440,Medical,Urgent,Medium
N0451,C0581,Financial,Urgent,Medium
N0452,C0323,Medical,Minor,Low
N0453,C0242,Shelter,Urgent,Medium
N0454,C0203,Food,Urgent,Medium
N0455,C0587,Financial,Urgent,High
N0456,C0190,Food,Urgent,High
N0457,C0811,Food,Urgent,Low
N0458,C0213,Shelter,Minor,Low
N0459,C0117,Financial,Minor,High
N0460,C0065,Medical,Urgent,High
N0461,C0008,Food,Urgent,Low
N0462,C0802,Medical,Minor,Medium
N0463,C0295,Food,Minor,Low
N0464,C0312,Medical,Moderate need,Low
N0465,C0385,Food,Urgent,High
N0466,C0341,Financial,Urgent,High
N0467,C0420,Shelter,Moderate need,Low
N0468,C0379,Medical,Moderate need,Low
N0469,C0253,Financial,Urgent,Medium
N0470,C0369,Shelter,Urgent,Low
N0471,C0815,Shelter,Urgent,High
N0472,C0023,Shelter,Urgent,Medium
N0473,C0139,Medical,Urgent,Low
N0474,C0762,Shelter,Moderate need,Medium
N0475,C0599,Food,Minor,High
N0476,C0442,Food,Minor,Low
N0477,C0221,Financial,Minor,Medium
N0478,C0484,Financial,Moderate need,High
N0479,C0022,Financial,Minor,Medium
N0480,C0124,Shelter,Minor,High
N0481,C0501,Medical,Moderate need,High
N0482,C0579,Shelter,Moderate need,Medium
N0483,C0786,Shelter,Minor,High
N0484,C0853,Medical,Moderate need,High
N0485,C0313,Medical,Minor,High
N0486,C0622,Shelter,Minor,Low
N0487,C0807,Medical,Moderate need,High
N0488,C0027,Shelter,Minor,Medium
N0489,C0732,Shelter,Moderate need,High
N0490,C0378,Medical,Moderate need,Medium
N0491,C0896,Shelter,Minor,Medium
N0492,C0727,Shelter,Moderate need,Medium
N0493,C0188,Financial,Urgent,Medium
N0494,C0059,Food,Minor,Low
N0495,C0311,Medical,Moderate need,Medium
N0496,C0032,Shelter,Urgent,Medium
N0497,C0722,Financial,Moderate need,High
N0498,C0049,Financial,Moderate need,Medium
N0499,C0632,Food,Minor,Low
N0500,C0739,Financial,Minor,Medium
N0501,C0788,Shelter,Urgent,High
N0502,C0868,Financial,Minor,Low
N0503,C0419,Food,Urgent,Low
N0504,C0885,Food,Moderate need,High
N0505,C0787,Financial,Urgent,Medium
N0506,C0122,Financial,Moderate need,Medium
N0507,C0484,Financial,Moderate need,Low
N0508,C0823,Shelter,Moderate need,Medium
N0509,C0798,Medical,Moderate need,High
N0510,C0764,Food,Urgent,High
N0511,C0051,Shelter,Minor,Low
N0512,C0781,Food,Urgent,High
N0513,C0485,Food,Moderate need,Low
N0514,C0817,Financial,Moderate need,High
N0515,C0436,Food,Urgent,High
N0516,C0346,Financial,Urgent,Low
N0517,C0217,Shelter,Minor,High
N0518,C0791,Food,Urgent,High
N0519,C0093,Shelter,Minor,Medium
N0520,C0646,Shelter,Minor,Medium
N0521,C0383,Shelter,Minor,Medium
N0522,C0297,Food,Urgent,Low
N0523,C0465,Shelter,Minor,Low
N0524,C0255,Food,Urgent,Medium
N0525,C0682,Shelter,Minor,Medium
N0526,C0299,Financial,Minor,Medium
N0527,C0148,Shelter,Minor,Low
N0528,C0599,Food,Moderate need,Medium
N0529,C0485,Financial,Moderate need,Low
N0530,C0799,Food,Moderate need,Low
N0531,C0373,Financial,Moderate need,High
N0532,C0239,Financial,Minor,Medium
N0533,C0627,Food,Urgent,High
N0534,C0386,Shelter,Minor,Medium
N0535,C0529,Food,Urgent,Low
N0536,C0430,Shelter,Minor,High
N0537,C0868,Medical,Moderate need,Medium
N0538,C0700,Medical,Moderate need,Medium
N0539,C0573,Food,Minor,High
N0540,C0831,Financial,Urgent,Medium
N0541,C0148,Financial,Moderate need,Medium
N0542,C0350,Shelter,Urgent,Medium
N0543,C0685,Financial,Moderate need,High
N0544,C0288,Financial,Moderate need,High
N0545,C0021,Financial,Moderate need,Low
N0546,C0377,Medical,Moderate need,Medium
N0547,C0091,Food,Urgent,Low
N0548,C0429,Shelter,Moderate need,High
N0549,C0076,Food,Moderate need,Medium
N0550,C0054,Food,Urgent,Medium
N0551,C0628,Shelter,Moderate need,Low
N0552,C0581,Shelter,Urgent,Low
N0553,C0213,Financial,Urgent,Medium
N0554,C0077,Shelter,Urgent,Low
N0555,C0313,Shelter,Urgent,Low
N0556,C0523,Shelter,Minor,High
N0557,C0835,Medical,Urgent,High
N0558,C0511,Shelter,Minor,Medium
N0559,C0545,Shelter,Minor,High
N0560,C0654,Medical,Urgent,Medium
N0561,C0704,Food,Moderate need,Low
N0562,C0051,Shelter,Moderate need,High
N0563,C0501,Shelter,Minor,Low
N0564,C0004,Shelter,Urgent,Medium
N0565,C0761,Food,Moderate need,Low
N0566,C0411,Shelter,Moderate need,Medium
N0567,C0627,Food,Urgent,Low
N0568,C0493,Medical,Minor,High
N0569,C0574,Shelter,Moderate need,Medium
N0570,C0664,Medical,Moderate need,Low
N0571,C0289,Financial,Moderate need,High
N0572,C0138,Medical,Urgent,Medium
N0573,C0449,Medical,Minor,High
N0574,C0848,Shelter,Minor,Medium
N0575,C0025,Shelter,Moderate need,Low
N0576,C0247,Medical,Minor,Low
N0577,C0708,Financial,Minor,Medium
N0578,C0869,Medical,Moderate need,High
N0579,C0343,Food,Urgent,Low
N0580,C0100,Shelter,Moderate need,High
N0581,C0502,Medical,Moderate need,Medium
N0582,C0603,Medical,Minor,High
N0583,C0556,Food,Urgent,High
N0584,C0324,Medical,Minor,Low
N0585,C0683,Food,Minor,Low
N0586,C0258,Food,Urgent,Low
N0587,C0511,Shelter,Minor,Low
N0588,C0784,Medical,Urgent,High
N0589,C0089,Food,Minor,Low
N0590,C0491,Medical,Moderate need,Low
N0591,C0261,Medical,Minor,High
N0592,C0179,Shelter,Moderate need,Medium
N0593,C0837,Financial,Urgent,Low
N0594,C0179,Food,Moderate need,High
N0595,C0046,Financial,Moderate need,Low
N0596,C0638,Medical,Minor,High
N0597,C0784,Financial,Minor,Low
