need_id,case_id,need_type,description,urgency
N0598,C0246,Financial,Minor,Medium
N0599,C0782,Shelter,Minor,High
N0600,C0147,Food,Moderate need,Medium
N0601,C0637,Financial,Urgent,Medium
N0602,C0012,Food,Urgent,Low
N0603,C0056,Food,Moderate need,Medium
N0604,C0853,Medical,Urgent,Medium
N0605,C0301,Food,Minor,High
N0606,C0088,Financial,Minor,High
N0607,C0715,Food,Moderate need,High
N0608,C0886,Shelter,Moderate need,Medium
N0609,C0795,Shelter,Urgent,High
N0610,C0166,Food,Minor,Medium
N0611,C0009,Shelter,Moderate need,Low
N0612,C0102,Shelter,Moderate need,Low
N0613,C0177,Shelter,Moderate need,Medium
N0614,C0504,Financial,Urgent,Medium
N0615,C0639,Food,Urgent,Low
N0616,C0040,Financial,Urgent,Medium
N0617,C0394,Shelter,Moderate need,High
N0618,C0427,Medical,Urgent,Medium
N0619,C0010,Shelter,Minor,Low
N0620,C0826,Food,Urgent,High
N0621,C0645,Medical,Minor,Low
N0622,C0854,Food,Moderate need,Low
N0623,C0448,Medical,Moderate need,High
N0624,C0535,Financial,Minor,Low
N0625,C0782,Financial,Urgent,High
N0626,C0558,Food,Moderate need,High
N0627,C0157,Medical,Moderate need,High
N0628,C0319,Food,Moderate need,Low
N0629,C0644,Shelter,Minor,Medium
N0630,C0367,Food,Urgent,High
N0631,C0176,Financial,Urgent,Low
N0632,C0416,Medical,Moderate need,Low
N0633,C0797,Financial,Moderate need,High
N0634,C0471,Shelter,Moderate need,Medium
N0635,C0110,Medical,Urgent,Low
N0636,C0630,Food,Moderate need,High
N0637,C0770,Food,Minor,Low
N0638,C0765,Medical,Moderate need,Low
N0639,C0748,Medical,Minor,High
N0640,C0674,Shelter,Urgent,Medium
N0641,C0817,Food,Minor,High
N0642,C0169,Financial,Moderate need,Low
N0643,C0283,Food,Moderate need,Low
N0644,C0011,Medical,Moderate need,Low
N0645,C0396,Food,Minor,Medium
N0646,C0192,Medical,Urgent,High
N0647,C0689,Financial,Moderate need,Medium
N0648,C0198,Medical,Moderate need,Low
N0649,C0437,Shelter,Minor,Low
N0650,C0896,Food,Moderate need,Low
N0651,C0281,Shelter,Minor,Medium
N0652,C0199,Financial,Minor,Low
N0653,C0717,Medical,Moderate need,Low
N0654,C0057,Food,Minor,Medium
N0655,C0607,Shelter,Minor,High
N0656,C0752,Financial,Urgent,High
N0657,C0247,Food,Urgent,High
N0658,C0504,Shelter,Moderate need,Low
N0659,C0327,Financial,Moderate need,Medium
N0660,C0471,Food,Minor,High
N0661,C0883,Medical,Urgent,Medium
N0662,C0645,Medical,Minor,Medium
N0663,C0028,Medical,Urgent,Low
N0664,C0343,Medical,Minor,High
N0665,C0157,Shelter,Urgent,Medium
N0666,C0048,Medical,Urgent,High
N0667,C0127,Medical,Moderate need,High
N0668,C0495,Medical,Urgent,High
N0669,C0752,Medical,Urgent,Medium
N0670,C0094,Medical,Urgent,Medium
N0671,C0315,Food,Urgent,Low
N0672,C0497,Medical,Minor,High
N0673,C0635,Financial,Moderate need,Medium
N0674,C0074,Medical,Urgent,Medium
N0675,C0013,Shelter,Urgent,High
N0676,C0162,Financial,Moderate need,Medium
N0677,C0711,Food,Minor,Low
N0678,C0199,Medical,Urgent,Medium
N0679,C0080,Shelter,Minor,Medium
N0680,C0775,Medical,Minor,High
N0681,C0093,Shelter,Urgent,Low
N0682,C0056,Shelter,Urgent,High
N0683,C0483,Shelter,Urgent,Medium
N0684,C0540,Medical,Urgent,High
N0685,C0118,Financial,Minor,High
N0686,C0559,Financial,Minor,High
N0687,C0378,Medical,Moderate need,Medium
N0688,C0842,Food,Urgent,High
N0689,C0756,Medical,Minor,Medium
N0690,C0454,Shelter,Moderate need,High
N0691,C0128,Financial,Minor,Low
N0692,C0072,Medical,Moderate need,High
N0693,C0787,Shelter,Minor,Medium
N0694,C0174,Financial,Urgent,Low
N0695,C0580,Financial,Moderate need,High
N0696,C0821,Financial,Moderate need,Low
N0697,C0870,Shelter,Moderate need,High
N0698,C0245,Financial,Urgent,Medium
N0699,C0622,Shelter,Moderate need,Low
N0700,C0114,Shelter,Minor,High
N0701,C0536,Shelter,Moderate need,Medium
N0702,C0852,Shelter,Urgent,High
N0703,C0526,Food,Moderate need,Medium
N0704,C0268,Medical,Moderate need,High
N0705,C0843,Financial,Minor,Medium
N0706,C0491,Medical,Moderate need,High
N0707,C0683,Financial,Minor,High
N0708,C0498,Medical,Minor,Low
N0709,C0813,Medical,Moderate need,Medium
N0710,C0245,Medical,Minor,High
N0711,C0551,Food,Urgent,High
N0712,C0230,Food,Urgent,Low
N0713,C0857,Food,Urgent,Low
N0714,C0709,Shelter,Minor,High
N0715,C0297,Food,Minor,Medium
N0716,C0016,Shelter,Urgent,High
N0717,C0360,Shelter,Minor,Low
N0718,C0432,Financial,Moderate need,High
N0719,C0382,Financial,Minor,Low
N0720,C0354,Medical,Moderate need,Low
N0721,C0406,Shelter,Moderate need,Medium
N0722,C0561,Food,Urgent,Low
N0723,C0285,Medical,Moderate need,Medium
N0724,C0282,Financial,Moderate need,Medium
N0725,C0859,Medical,Urgent,High
N0726,C0704,Food,Minor,Low
N0727,C0176,Shelter,Moderate need,Medium
N0728,C0736,Food,Minor,High
N0729,C0441,Financial,Minor,High
N0730,C0641,Shelter,Urgent,High
N0731,C0293,Financial,Urgent,Low
N0732,C0289,Shelter,Urgent,Medium
N0733,C0164,Financial,Moderate need,High
N0734,C0782,Medical,Urgent,Low
N0735,C0262,Shelter,Urgent,Low
N0736,C0371,Medical,Moderate need,Medium
N0737,C0624,Shelter,Urgent,Medium
N0738,C0544,Medical,Minor,High
N0739,C0234,Shelter,Minor,High
N0740,C0049,Medical,Moderate need,Low
N0741,C0854,Food,Moderate need,Low
N0742,C0844,Financial,Minor,Medium
N0743,C0822,Financial,Minor,Medium
N0744,C0297,Financial,Urgent,Low
N0745,C0374,Food,Moderate need,High
N0746,C0696,Medical,Urgent,Medium
N0747,C0300,Medical,Moderate need,Low
N0748,C0482,Financial,Moderate need,High
N0749,C0702,Financial,Moderate need,High
N0750,C0517,Shelter,Minor,Low
N0751,C0403,Medical,Urgent,High
N0752,C0353,Financial,Moderate need,High
N0753,C0220,Medical,Moderate need,High
N0754,C0221,Food,Urgent,Medium
N0755,C0086,Financial,Moderate need,Low
N0756,C0762,Financial,Minor,Medium
N0757,C0770,Food,Moderate need,High
N0758,C0460,Medical,Moderate need,Medium
N0759,C0300,Shelter,Moderate need,Low
N0760,C0083,Food,Moderate need,Low
N0761,C0038,Medical,Moderate need,High
N0762,C0672,Food,Moderate need,High
N0763,C0540,Financial,Urgent,Low
N0764,C0462,Medical,Minor,Low
N0765,C0567,Financial,Moderate need,Medium
N0766,C0760,Shelter,Urgent,Medium
N0767,C0764,Medical,Urgent,Low
N0768,C0560,Financial,Moderate need,Medium
N0769,C0460,Food,Minor,Medium
N0770,C0829,Medical,Minor,Medium
N0771,C0489,Financial,Minor,Low
N0772,C0638,Financial,Urgent,High
N0773,C0338,Medical,Urgent,Low
N0774,C0431,Food,Moderate need,Medium
N0775,C0766,Shelter,Minor,High
N0776,C0796,Food,Moderate need,High
N0777,C0642,Food,Moderate need,High
N0778,C0458,Financial,Minor,Medium
N0779,C0843,Shelter,Moderate need,Low
N0780,C0054,Medical,Moderate need,Low
N0781,C0766,Financial,Urgent,High
N0782,C0173,Food,Minor,Low
N0783,C0160,Financial,Minor,Low
N0784,C0759,Medical,Urgent,Medium
N0785,C0187,Financial,Urgent,High
N0786,C0824,Medical,Urgent,Low
N0787,C0226,Medical,Urgent,High
N0788,C0277,Medical,Minor,Medium
N0789,C0671,Financial,Minor,High
N0790,C0791,Shelter,Urgent,High
N0791,C0094,Financial,Minor,Medium
N0792,C0151,Shelter,Moderate need,High
N0793,C0832,Financial,Minor,Low
N0794,C0138,Medical,Moderate need,Low
N0795,C0003,Medical,Moderate need,Low
N0796,C0415,Medical,Minor,Medium
N0797,C0623,Financial,Urgent,High
N0798,C0256,Financial,Minor,High
N0799,C0321,Medical,Moderate need,Low
N0800,C0168,Medical,Moderate need,High
N0801,C0158,Shelter,Urgent,Low
N0802,C0859,Financial,Urgent,Low
N0803,C0303,Food,Urgent,Low
N0804,C0297,Food,Urgent,Medium
N0805,C0170,Medical,Minor,Medium
N0806,C0299,Financial,Moderate need,Low
N0807,C0429,Financial,Urgent,Medium
N0808,C0302,Food,Moderate need,Medium
N0809,C0793,Financial,Minor,High
N0810,C0515,Food,Minor,Low
N0811,C0185,Shelter,Minor,High
N0812,C0234,Medical,Moderate need,Low
N0813,C0796,Shelter,Urgent,High
N0814,C0408,Medical,Urgent,High
N0815,C0866,Food,Minor,Low
N0816,C0128,Shelter,Minor,High
N0817,C0300,Financial,Urgent,High
N0818,C0222,Financial,Moderate need,Medium
N0819,C0110,Financial,Urgent,Low
N0820,C0354,Food,Urgent,Low
N0821,C0264,Shelter,Minor,Medium
N0822,C0344,Food,Minor,Medium
N0823,C0319,Medical,Minor,Low
N0824,C0058,Shelter,Moderate need,Low
N0825,C0827,Financial,Minor,Medium
N0826,C0249,Food,Urgent,High
N0827,C0586,Food,Minor,Low
N0828,C0214,Medical,Moderate need,High
N0829,C0593,Food,Urgent,Medium
N0830,C0347,Medical,Moderate need,Low
N0831,C0351,Shelter,Minor,Medium
N0832,C0892,Food,Urgent,Medium
N0833,C0197,Medical,Minor,High
N0834,C0734,Medical,Urgent,High
N0835,C0170,Financial,Moderate need,Medium
N0836,C0690,Shelter,Minor,Low
N0837,C0078,Medical,Urgent,Medium
N0838,C0878,Medical,Minor,High
N0839,C0190,Financial,Urgent,High
N0840,C0179,Food,Urgent,Medium
N0841,C0079,Financial,Moderate need,High
N0842,C0154,Food,Minor,Low
N0843,C0072,Medical,Minor,Medium
N0844,C0900,Financial,Urgent,Low
N0845,C0180,Shelter,Moderate need,High
N0846,C0592,Shelter,Urgent,High
N0847,C0686,Medical,Urgent,Low
N0848,C0589,Shelter,Urgent,Low
N0849,C0346,Financial,Moderate need,High
N0850,C0103,Medical,Moderate need,High
N0851,C0118,Financial,Moderate need,Low
N0852,C0534,Medical,Urgent,Medium
N0853,C0822,Financial,Moderate need,Low
N0854,C0854,Financial,Minor,Low
N0855,C0577,Medical,Moderate need,Low
N0856,C0343,Shelter,Moderate need,Low
N0857,C0496,Food,Minor,High
N0858,C0496,Food,Moderate need,Low
N0859,C0731,Shelter,Minor,Low
N0860,C0428,Food,Moderate need,Medium
N0861,C0679,Shelter,Urgent,Medium
N0862,C0582,Medical,Minor,High
N0863,C0455,Financial,Urgent,Low
N0864,C0172,Financial,Urgent,Medium
N0865,C0763,Shelter,Moderate need,Low
N0866,C0703,Medical,Moderate need,High
N0867,C0429,Food,Minor,Medium
N0868,C0614,Financial,Urgent,Low
N0869,C0086,Medical,Minor,Low
N0870,C0798,Shelter,Moderate need,High
N0871,C0257,Financial,Urgent,High
N0872,C0719,Financial,Urgent,Low
N0873,C0528,Food,Minor,Low
N0874,C0567,Shelter,Urgent,High
N0875,C0867,Medical,Urgent,High
N0876,C0637,Food,Moderate need,Medium
N0877,C0792,Financial,Urgent,Low
N0878,C0052,Food,Minor,Low
N0879,C0160,Food,Urgent,Medium
N0880,C0192,Food,Urgent,High
N0881,C0517,Medical,Minor,High
N0882,C0209,Financial,Minor,Low
N0883,C0161,Financial,Moderate need,Medium
N0884,C0758,Food,Urgent,Medium
N0885,C0639,Food,Moderate need,High
N0886,C0781,Food,Moderate need,High
N0887,C0095,Shelter,Moderate need,Low
N0888,C0063,Shelter,Minor,Medium
N0889,C0664,Food,Minor,High
N0890,C0638,Shelter,Moderate need,Low
N0891,C0867,Food,Urgent,Medium
N0892,C0611,Food,Moderate need,Medium
N0893,C0402,Food,Moderate need,High
N0894,C0881,Medical,Minor,High
N0895,C0017,Medical,Minor,Low
N0896,C0808,Medical,Urgent,Medium
N0897,C0164,Financial,Minor,Low
N0898,C0885,Shelter,Minor,High
N0899,C0729,Financial,Minor,High
N0900,C0706,Shelter,Moderate need,Medium
N0901,C0296,Medical,Minor,High
N0902,C0069,Medical,Urgent,High
N0903,C0890,Medical,Minor,High
N0904,C0320,Shelter,Moderate need,Low
N0905,C0210,Food,Moderate need,Low
N0906,C0864,Medical,Urgent,High
N0907,C0271,Medical,Moderate need,Medium
N0908,C0747,Food,Urgent,Low
N0909,C0761,Medical,Urgent,Medium
N0910,C0797,Shelter,Moderate need,High
N0911,C0835,Medical,Urgent,Low
N0912,C0812,Financial,Urgent,Medium
N0913,C0715,Food,Minor,Medium
N0914,C0814,Financial,Urgent,High
N0915,C0140,Food,Urgent,Medium
N0916,C0850,Medical,Minor,Low
N0917,C0040,Shelter,Minor,Medium
N0918,C0643,Food,Moderate need,Low
N0919,C0811,Medical,Minor,Low
N0920,C0373,Shelter,Urgent,High
N0921,C0078,Food,Urgent,High
N0922,C0613,Medical,Minor,High
N0923,C0305,Financial,Minor,High
N0924,C0440,Food,Moderate need,Low
N0925,C0026,Medical,Minor,Low
N0926,C0765,Financial,Urgent,Low
N0927,C0312,Medical,Urgent,Low
N0928,C0746,Food,Urgent,High
N0929,C0050,Medical,Minor,High
N0930,C0709,Financial,Urgent,High
N0931,C0390,Financial,Urgent,Low
N0932,C0617,Medical,Moderate need,Low
N0933,C0581,Financial,Minor,Low
N0934,C0844,Shelter,Moderate need,Low
N0935,C0343,Food,Moderate need,Medium
N0936,C0149,Shelter,Urgent,High
N0937,C0519,Financial,Minor,Low
N0938,C0864,Medical,Moderate need,High
N0939,C0612,Food,Urgent,High
N0940,C0566,Financial,Urgent,Low
N0941,C0242,Shelter,Minor,Low
N0942,C0830,Food,Urgent,Low
N0943,C0126,Shelter,Moderate need,Low
N0944,C0338,Shelter,Minor,Low
N0945,C0297,Shelter,Minor,High
N0946,C0002,Medical,Moderate need,Medium
N0947,C0300,Food,Minor,Medium
N0948,C0701,Medical,Moderate need,Medium
N0949,C0568,Medical,Moderate need,High
N0950,C0603,Shelter,Urgent,Low
N0951,C0764,Food,Urgent,Low
N0952,C0242,Medical,Moderate need,Medium
N0953,C0181,Shelter,Urgent,Low
N0954,C0426,Financial,Moderate need,High
N0955,C0695,Financial,Moderate need,Medium
N0956,C0023,Food,Minor,High
N0957,C0886,Medical,Urgent,Low
N0958,C0139,Financial,Moderate need,Medium
N0959,C0514,Financial,Minor,Medium
N0960,C0797,Shelter,Minor,Low
N0961,C0467,Food,Moderate need,High
N0962,C0288,Financial,Urgent,High
N0963,C0616,Financial,Moderate need,Low
N0964,C0515,Financial,Moderate need,High
N0965,C0372,Financial,Urgent,High
N0966,C0307,Medical,Moderate need,Low
N0967,C0625,Financial,Urgent,Low
N0968,C0039,Medical,Urgent,Medium
N0969,C0097,Shelter,Minor,Low
N0970,C0590,Shelter,Urgent,Medium
N0971,C0700,Financial,Minor,Low
N0972,C0157,Financial,Minor,Low
N0973,C0125,Food,Urgent,Low
N0974,C0210,Shelter,Minor,Low
N0975,C0138,Food,Moderate need,Low
N0976,C0208,Financial,Urgent,Medium
N0977,C0142,Medical,Urgent,High
N0978,C0242,Medical,Moderate need,Medium
N0979,C0073,Financial,Minor,Low
N0980,C0660,Financial,Moderate need,Medium
N0981,C0246,Medical,Minor,Low
N0982,C0545,Food,Minor,High
N0983,C0013,Financial,Urgent,Medium
N0984,C0085,Financial,Moderate need,Low
N0985,C0770,Shelter,Urgent,Low
N0986,C0217,Financial,Moderate need,High
N0987,C0388,Medical,Urgent,High
N0988,C0030,Medical,Urgent,High
N0989,C0405,Food,Moderate need,Medium
N0990,C0084,Medical,Minor,High
N0991,C0681,Shelter,Minor,Low
N0992,C0643,Shelter,Urgent,High
N0993,C0395,Financial,Moderate need,Low
N0994,C0695,Shelter,Urgent,High
N0995,C0246,Medical,Minor,Medium
N0996,C0572,Medical,Minor,High
N0997,C0796,Shelter,Moderate need,Low
N0998,C0256,Medical,Urgent,Low
N0999,C0633,Food,Urgent,Medium
N1000,C0343,Medical,Moderate need,High
N1001,C0812,Shelter,Urgent,High
N1002,C0269,Shelter,Urgent,High
N1003,C0164,Medical,Moderate need,Medium
N1004,C0642,Food,Urgent,High
N1005,C0331,Shelter,Moderate need,Medium
N1006,C0445,Financial,Moderate need,Low
N1007,C0592,Medical,Urgent,High
N1008,C0034,Shelter,Urgent,High
N1009,C0524,Food,Moderate need,Medium
N1010,C0407,Financial,Urgent,High
N1011,C0784,Shelter,Urgent,Low
N1012,C0608,Shelter,Urgent,High
N1013,C0228,Financial,Moderate need,Medium
N1014,C0190,Shelter,Moderate need,High
N1015,C0414,Food,Urgent,High
N1016,C0555,Financial,Minor,High
N1017,C0826,Food,Minor,Medium
N1018,C0625,Shelter,Urgent,Medium
N1019,C0196,Financial,Moderate need,Low
N1020,C0689,Food,Moderate need,Medium
N1021,C0806,Shelter,Minor,Low
N1022,C0561,Food,Urgent,Low
N1023,C0351,Food,Moderate need,Low
N1024,C0305,Medical,Moderate need,Medium
N1025,C0143,Medical,Minor,High
N1026,C0692,Shelter,Urgent,High
N1027,C0260,Food,Minor,High
N1028,C0849,Medical,Minor,Low
N1029,C0774,Shelter,Urgent,Medium
N1030,C0400,Shelter,Moderate need,Low
N1031,C0472,Shelter,Urgent,High
N1032,C0103,Shelter,Urgent,High
N1033,C0073,Food,Moderate need,Medium
N1034,C0805,Medical,Moderate need,Medium
N1035,C0484,Shelter,Moderate need,Medium
N1036,C0208,Food,Minor,High
N1037,C0313,Food,Moderate need,Medium
N1038,C0623,Food,Minor,Low
N1039,C0052,Medical,Moderate need,High
N1040,C0673,Financial,Moderate need,Low
N1041,C0896,Financial,Minor,High
N1042,C0016,Food,Moderate need,Low
N1043,C0102,Shelter,Moderate need,Medium
N1044,C0068,Shelter,Moderate need,Medium
N1045,C0028,Shelter,Moderate need,High
N1046,C0285,Food,Minor,Medium
N1047,C0715,Food,Minor,High
N1048,C0743,Shelter,Moderate need,Low
N1049,C0365,Shelter,Urgent,Medium
N1050,C0173,Food,Minor,Medium
N1051,C0491,Medical,Moderate need,High
N1052,C0585,Medical,Moderate need,High
N1053,C0744,Food,Minor,High
N1054,C0527,Food,Minor,Low
N1055,C0892,Medical,Urgent,Medium
N1056,C0317,Food,Moderate need,High
N1057,C0653,Financial,Moderate need,Medium
N1058,C0067,Financial,Urgent,High
N1059,C0421,Medical,Minor,Low
N1060,C0483,Food,Moderate need,Medium
N1061,C0439,Medical,Moderate need,Low
N1062,C0487,Food,Minor,High
N1063,C0148,Medical,Moderate need,Low
N1064,C0155,Medical,Minor,High
N1065,C0742,Medical,Minor,Low
N1066,C0292,Medical,Urgent,High
N1067,C0225,Shelter,Urgent,High
N1068,C0862,Food,Urgent,Medium
N1069,C0768,Food,Moderate need,Low
N1070,C0599,Food,Minor,Medium
N1071,C0203,Medical,Moderate need,Low
N1072,C0898,Shelter,Urgent,High
N1073,C0704,Food,Moderate need,High
N1074,C0331,Medical,Minor,Low
N1075,C0419,Food,Moderate need,Medium
N1076,C0139,Medical,Minor,Low
N1077,C0422,Medical,Minor,High
N1078,C0561,Food,Urgent,High
N1079,C0238,Medical,Moderate need,High
N1080,C0009,Food,Minor,Low
N1081,C0352,Food,Urgent,Low
N1082,C0029,Food,Minor,Medium
N1083,C0821,Medical,Moderate need,High
N1084,C0427,Financial,Moderate need,Low
N1085,C0425,Financial,Urgent,Medium
N1086,C0153,Medical,Urgent,Low
N1087,C0106,Shelter,Minor,High
N1088,C0570,Financial,Minor,Medium
N1089,C0631,Medical,Moderate need,Medium
N1090,C0614,Financial,Minor,Low
N1091,C0012,Financial,Minor,Medium
N1092,C0773,Shelter,Urgent,Low
N1093,C0499,Shelter,Moderate need,Medium
N1094,C0891,Food,Moderate need,Medium
N1095,C0064,Food,Minor,High
N1096,C0620,Financial,Urgent,Medium
N1097,C0418,Shelter,Urgent,High
N1098,C0858,Medical,Minor,Low
N1099,C0019,Shelter,Moderate need,Low
N1100,C0599,Financial,Moderate need,High
N1101,C0852,Food,Minor,Low
N1102,C0516,Shelter,Minor,Medium
N1103,C0708,Food,Moderate need,Medium
N1104,C0620,Financial,Minor,Low
N1105,C0244,Financial,Urgent,High
N1106,C0577,Medical,Minor,High
N1107,C0094,Food,Moderate need,High
N1108,C0289,Financial,Urgent,Medium
N1109,C0512,Financial,Minor,Medium
N1110,C0036,Medical,Moderate need,High
N1111,C0228,Shelter,Urgent,Low
N1112,C0378,Financial,Urgent,Medium
N1113,C0686,Food,Minor,High
N1114,C0472,Financial,Minor,High
N1115,C0457,Financial,Minor,High
N1116,C0155,Food,Moderate need,High
N1117,C0166,Financial,Minor,Low
N1118,C0856,Financial,Minor,Medium
N1119,C0124,Shelter,Moderate need,Low
N1120,C0131,Medical,Moderate need,Low
N1121,C0365,Financial,Minor,Medium
N1122,C0603,Medical,Minor,High
N1123,C0897,Food,Urgent,Medium
N1124,C0675,Financial,Urgent,Low
N1125,C0316,Shelter,Minor,High
N1126,C0284,Food,Urgent,Low
N1127,C0335,Medical,Moderate need,High
N1128,C0222,Financial,Urgent,High
N1129,C0799,Financial,Urgent,High
N1130,C0559,Shelter,Moderate need,High
N1131,C0857,Medical,Minor,Medium
N1132,C0140,Food,Moderate need,Low
N1133,C0467,Shelter,Moderate need,Low
N1134,C0112,Food,Moderate need,Low
N1135,C0629,Medical,Minor,Low
N1136,C0191,Shelter,Urgent,Low
N1137,C0308,Food,Minor,High
N1138,C0716,Food,Minor,High
N1139,C0490,Food,Urgent,Medium
N1140,C0511,Financial,Minor,Medium
N1141,C0426,Food,Urgent,Low
N1142,C0692,Financial,Moderate need,High
N1143,C0455,Financial,Urgent,Low
N1144,C0870,Medical,Moderate need,Low
N1145,C0382,Shelter,Minor,Low
N1146,C0333,Medical,Urgent,Low
N1147,C0571,Medical,Minor,Medium
N1148,C0722,Food,Urgent,Low
N1149,C0051,Financial,Minor,Low
N1150,C0235,Medical,Minor,Low
N1151,C0467,Shelter,Urgent,High
N1152,C0683,Food,Moderate need,Medium
N1153,C0252,Financial,Urgent,High
N1154,C0668,Medical,Minor,Medium
N1155,C0125,Shelter,Minor,High
N1156,C0307,Medical,Urgent,High
N1157,C0370,Shelter,Urgent,Low
N1158,C0385,Medical,Minor,Low
N1159,C0171,Financial,Urgent,Medium
N1160,C0193,Financial,Minor,Low
N1161,C0409,Shelter,Moderate need,Low
N1162,C0060,Medical,Urgent,Low
N1163,C0029,Medical,Urgent,Medium
N1164,C0873,Medical,Minor,High
N1165,C0005,Medical,Moderate need,Low
N1166,C0369,Shelter,Urgent,High
N1167,C0871,Financial,Urgent,Medium
N1168,C0211,Medical,Moderate need,Medium
N1169,C0649,Shelter,Minor,High
N1170,C0677,Medical,Urgent,Low
N1171,C0232,Shelter,Urgent,Medium
N1172,C0071,Financial,Minor,High
N1173,C0302,Shelter,Minor,High
N1174,C0264,Medical,Urgent,Low
N1175,C0368,Shelter,Minor,Low
N1176,C0827,Medical,Moderate need,High
N1177,C0503,Shelter,Moderate need,High
N1178,C0543,Shelter,Minor,Medium
N1179,C0819,Food,Minor,Medium
N1180,C0819,Financial,Moderate need,Low
N1181,C0725,Food,Urgent,Medium
N1182,C0606,Medical,Moderate need,High
N1183,C0658,Food,Moderate need,Low
N1184,C0798,Shelter,Minor,Medium
N1185,C0486,Financial,Moderate need,Low
N1186,C0645,Shelter,Moderate need,Low
N1187,C0762,Shelter,Urgent,Medium
N1188,C0364,Financial,Urgent,Low
N1189,C0408,Shelter,Minor,Low
N1190,C0383,Food,Minor,Medium
N1191,C0773,Shelter,Urgent,High
N1192,C0381,Shelter,Moderate need,Low
N1193,C0647,Shelter,Minor,Low
N1194,C0829,Medical,Moderate need,High
N1195,C0243,Financial,Minor,Medium
N1196,C0493,Food,Urgent,High
N1197,C0888,Food,Minor,Low
