need_id,case_id,need_type,description,urgency
N1198,C0452,Financial,Minor,Medium
N1199,C0379,Medical,Minor,Medium
N1200,C0283,Shelter,Urgent,High
N1201,C0772,Shelter,Urgent,Low
N1202,C0065,Medical,Urgent,Medium
N1203,C0722,Financial,Minor,Medium
N1204,C0181,Food,Minor,High
N1205,C0816,Food,Moderate need,Medium
N1206,C0434,Shelter,Urgent,High
N1207,C0879,Food,Urgent,Low
N1208,C0144,Food,Minor,Medium
N1209,C0339,Medical,Minor,High
N1210,C0827,Financial,Minor,High
N1211,C0064,Shelter,Moderate need,Low
N1212,C0098,Food,Urgent,Medium
N1213,C0167,Shelter,Moderate need,Low
N1214,C0185,Medical,Urgent,High
N1215,C0086,Financial,Minor,Medium
N1216,C0874,Shelter,Moderate need,High
N1217,C0839,Food,Urgent,Low
N1218,C0303,Financial,Moderate need,Medium
N1219,C0664,Food,Minor,Medium
N1220,C0300,Medical,Moderate need,Medium
N1221,C0856,Food,Urgent,High
N1222,C0253,Financial,Minor,High
N1223,C0576,Shelter,Moderate need,Low
N1224,C0864,Shelter,Urgent,Low
N1225,C0398,Shelter,Moderate need,Medium
N1226,C0197,Medical,Moderate need,Medium
N1227,C0667,Food,Minor,Medium
N1228,C0391,Medical,Moderate need,High
N1229,C0015,Medical,Moderate need,Low
N1230,C0709,Food,Urgent,Medium
N1231,C0296,Financial,Urgent,Medium
N1232,C0858,Medical,Minor,Low
N1233,C0608,Food,Urgent,Medium
N1234,C0415,Financial,Urgent,High
N1235,C0565,Shelter,Urgent,High
N1236,C0306,Food,Urgent,Medium
N1237,C0873,Shelter,Moderate need,High
N1238,C0475,Medical,Urgent,Medium
N1239,C0534,Shelter,Moderate need,Medium
N1240,C0376,Financial,Moderate need,Medium
N1241,C0538,Financial,Minor,Medium
N1242,C0556,Food,Minor,Low
N1243,C0142,Food,Urgent,Low
N1244,C0353,Medical,Moderate need,Low
N1245,C0106,Financial,Urgent,Low
N1246,C0230,Food,Moderate need,High
N1247,C0238,Medical,Urgent,Low
N1248,C0243,Shelter,Urgent,High
N1249,C0087,Medical,Urgent,Medium
N1250,C0092,Food,Minor,Low
N1251,C0680,Shelter,Minor,Low
N1252,C0447,Shelter,Minor,Medium
N1253,C0226,Shelter,Moderate need,High
N1254,C0111,Food,Urgent,High
N1255,C0858,Shelter,Urgent,High
N1256,C0884,Medical,Minor,Low
N1257,C0890,Medical,Urgent,Medium
N1258,C0788,Food,Moderate need,Low
N1259,C0670,Financial,Moderate need,Low
N1260,C0612,Medical,Minor,High
N1261,C0225,Food,Urgent,High
N1262,C0748,Medical,Moderate need,Low
N1263,C0399,Medical,Moderate need,Low
N1264,C0265,Shelter,Minor,High
N1265,C0802,Shelter,Moderate need,High
N1266,C0018,Financial,Moderate need,Low
N1267,C0124,Medical,Moderate need,High
N1268,C0817,Shelter,Moderate need,Low
N1269,C0476,Financial,Moderate need,Medium
N1270,C0146,Medical,Moderate need,Medium
N1271,C0208,Financial,Minor,Low
N1272,C0214,Financial,Minor,High
N1273,C0348,Financial,Moderate need,Medium
N1274,C0294,Financial,Moderate need,Low
N1275,C0812,Medical,Moderate need,Medium
N1276,C0021,Shelter,Urgent,Low
N1277,C0044,Food,Urgent,Medium
N1278,C0095,Medical,Minor,Low
N1279,C0321,Food,Minor,Low
N1280,C0461,Food,Urgent,High
N1281,C0276,Financial,Moderate need,Medium
N1282,C0115,Financial,Minor,High
N1283,C0563,Food,Minor,Low
N1284,C0786,Medical,Urgent,Low
N1285,C0421,Financial,Urgent,Medium
N1286,C0132,Shelter,Urgent,Medium
N1287,C0793,Financial,Moderate need,Medium
N1288,C0844,Food,Urgent,Medium
N1289,C0196,Food,Urgent,High
N1290,C0514,Financial,Minor,Low
N1291,C0054,Medical,Moderate need,Low
N1292,C0780,Financial,Urgent,High
N1293,C0376,Shelter,Minor,Low
N1294,C0335,Food,Minor,Low
N1295,C0843,Financial,Minor,High
N1296,C0167,Financial,Moderate need,Low
N1297,C0868,Medical,Minor,Medium
N1298,C0350,Food,Moderate need,High
N1299,C0344,Medical,Urgent,Low
N1300,C0297,Medical,Urgent,High
N1301,C0002,Financial,Moderate need,Low
N1302,C0271,Financial,Moderate need,Low
N1303,C0459,Financial,Urgent,High
N1304,C0348,Shelter,Urgent,High
N1305,C0578,Medical,Minor,Low
N1306,C0499,Shelter,Urgent,Low
N1307,C0679,Food,Moderate need,Medium
N1308,C0597,Financial,Minor,High
N1309,C0295,Food,Urgent,High
N1310,C0564,Medical,Urgent,High
N1311,C0815,Food,Urgent,Medium
N1312,C0603,Shelter,Urgent,Medium
N1313,C0202,Food,Minor,Medium
N1314,C0407,Shelter,Moderate need,Medium
N1315,C0397,Food,Minor,High
N1316,C0852,Medical,Minor,Low
N1317,C0455,Financial,Urgent,High
N1318,C0782,Financial,Minor,High
N1319,C0116,Financial,Moderate need,Medium
N1320,C0280,Medical,Moderate need,Medium
N1321,C0168,Food,Urgent,Low
N1322,C0309,Medical,Urgent,Medium
N1323,C0852,Financial,Urgent,Low
N1324,C0742,Financial,Minor,High
N1325,C0385,Medical,Urgent,Medium
N1326,C0104,Medical,Minor,Medium
N1327,C0803,Food,Minor,Low
N1328,C0875,Financial,Urgent,Medium
N1329,C0315,Financial,Minor,High
N1330,C0518,Financial,Urgent,Medium
N1331,C0430,Financial,Moderate need,Medium
N1332,C0374,Food,Moderate need,Medium
N1333,C0835,Food,Moderate need,Low
N1334,C0898,Shelter,Urgent,Medium
N1335,C0764,Financial,Moderate need,Medium
N1336,C0393,Shelter,Minor,Low
N1337,C0218,Shelter,Urgent,Low
N1338,C0255,Financial,Minor,Low
N1339,C0674,Medical,Moderate need,Medium
N1340,C0758,Food,Urgent,Medium
N1341,C0324,Medical,Minor,High
N1342,C0056,Financial,Moderate need,High
N1343,C0088,Shelter,Urgent,High
N1344,C0339,Financial,Urgent,Medium
N1345,C0221,Shelter,Urgent,High
N1346,C0573,Food,Minor,Medium
N1347,C0639,Food,Urgent,Low
N1348,C0885,Medical,Urgent,Medium
N1349,C0889,Food,Moderate need,Low
N1350,C0188,Shelter,Urgent,Medium
N1351,C0707,Shelter,Urgent,High
N1352,C0242,Food,Moderate need,High
N1353,C0200,Shelter,Moderate need,Medium
N1354,C0110,Shelter,Urgent,Low
N1355,C0712,Financial,Minor,High
N1356,C0158,Shelter,Urgent,High
N1357,C0880,Shelter,Moderate need,Medium
N1358,C0231,Food,Urgent,High
N1359,C0459,Food,Minor,Low
N1360,C0458,Shelter,Urgent,Low
N1361,C0864,Shelter,Moderate need,Medium
N1362,C0282,Medical,Urgent,High
N1363,C0787,Financial,Moderate need,Low
N1364,C0449,Food,Moderate need,Medium
N1365,C0435,Medical,Urgent,High
N1366,C0597,Food,Urgent,Medium
N1367,C0279,Financial,Urgent,Low
N1368,C0126,Food,Urgent,Low
N1369,C0008,Financial,Moderate need,High
N1370,C0273,Food,Urgent,Low
N1371,C0679,Food,Moderate need,High
N1372,C0339,Shelter,Urgent,Medium
N1373,C0540,Financial,Minor,Low
N1374,C0269,Financial,Moderate need,Medium
N1375,C0143,Financial,Minor,High
N1376,C0863,Shelter,Urgent,Low
N1377,C0242,Shelter,Moderate need,Medium
N1378,C0895,Financial,Urgent,Medium
N1379,C0035,Shelter,Moderate need,High
N1380,C0719,Shelter,Minor,Medium
N1381,C0500,Food,Minor,Low
N1382,C0601,Shelter,Urgent,Low
N1383,C0700,Shelter,Moderate need,High
N1384,C0762,Food,Moderate need,Medium
N1385,C0270,Medical,Urgent,Medium
N1386,C0284,Financial,Minor,High
N1387,C0789,Medical,Moderate need,Medium
N1388,C0810,Food,Minor,High
N1389,C0474,Shelter,Minor,Low
N1390,C0454,Food,Urgent,High
N1391,C0622,Financial,Minor,Medium
N1392,C0819,Financial,Minor,High
N1393,C0576,Medical,Moderate need,Medium
N1394,C0311,Shelter,Urgent,High
N1395,C0177,Financial,Minor,Low
N1396,C0839,Medical,Moderate need,High
N1397,C0212,Food,Urgent,Low
N1398,C0074,Financial,Minor,Medium
N1399,C0838,Shelter,Minor,Medium
N1400,C0129,Medical,Urgent,Medium
N1401,C0501,Food,Moderate need,High
N1402,C0789,Food,Urgent,Low
N1403,C0885,Medical,Minor,High
N1404,C0035,Medical,Minor,Low
N1405,C0587,Medical,Minor,Low
N1406,C0632,Financial,Moderate need,Low
N1407,C0673,Shelter,Moderate need,Low
N1408,C0279,Shelter,Minor,Medium
N1409,C0265,Financial,Minor,Low
N1410,C0352,Financial,Minor,High
N1411,C0213,Food,Moderate need,Low
N1412,C0302,Medical,Minor,Low
N1413,C0681,Shelter,Moderate need,High
N1414,C0325,Medical,Minor,Low
N1415,C0625,Shelter,Minor,High
N1416,C0613,Medical,Minor,Medium
N1417,C0187,Financial,Moderate need,Low
N1418,C0100,Shelter,Minor,Medium
N1419,C0176,Shelter,Moderate need,Low
N1420,C0441,Financial,Minor,High
N1421,C0694,Medical,Moderate need,Medium
N1422,C0876,Food,Minor,Low
N1423,C0644,Food,Minor,Low
N1424,C0202,Shelter,Moderate need,High
N1425,C0867,Shelter,Moderate need,Medium
N1426,C0125,Medical,Minor,Low
N1427,C0116,Food,Minor,High
N1428,C0053,Food,Moderate need,Medium
N1429,C0227,Financial,Moderate need,High
N1430,C0058,Medical,Moderate need,Medium
N1431,C0785,Financial,Minor,Medium
N1432,C0746,Financial,Urgent,Medium
N1433,C0776,Financial,Moderate need,Medium
N1434,C0833,Financial,Minor,Medium
N1435,C0327,Food,Urgent,Low
N1436,C0462,Food,Urgent,Medium
N1437,C0349,Shelter,Urgent,Low
N1438,C0652,Food,Urgent,Medium
N1439,C0297,Medical,Moderate need,Medium
N1440,C0737,Food,Moderate need,Low
N1441,C0013,Shelter,Urgent,High
N1442,C0235,Financial,Minor,Medium
N1443,C0511,Food,Minor,High
N1444,C0436,Shelter,Urgent,High
N1445,C0417,Medical,Moderate need,Medium
N1446,C0178,Food,Minor,High
N1447,C0804,Food,Moderate need,Medium
N1448,C0334,Food,Moderate need,Low
N1449,C0781,Medical,Moderate need,Low
N1450,C0578,Food,Urgent,High
N1451,C0508,Shelter,Minor,Medium
N1452,C0103,Shelter,Urgent,High
N1453,C0867,Financial,Minor,High
N1454,C0670,Financial,Moderate need,Low
N1455,C0408,Financial,Minor,Low
N1456,C0807,Medical,Moderate need,Medium
N1457,C0318,Financial,Minor,Low
N1458,C0464,Medical,Minor,High
N1459,C0037,Medical,Minor,Medium
N1460,C0800,Medical,Moderate need,High
N1461,C0722,Food,Urgent,High
N1462,C0112,Shelter,Urgent,High
N1463,C0321,Financial,Urgent,Medium
N1464,C0440,Medical,Minor,Medium
N1465,C0522,Financial,Moderate need,Medium
N1466,C0196,Shelter,Moderate need,Medium
N1467,C0753,Financial,Moderate need,High
N1468,C0247,Shelter,Urgent,Medium
N1469,C0724,Shelter,Moderate need,Low
N1470,C0280,Financial,Minor,High
N1471,C0712,Financial,Urgent,Low
N1472,C0060,Medical,Minor,Low
N1473,C0318,Food,Urgent,Low
N1474,C0207,Financial,Minor,Low
N1475,C0845,Food,Minor,Low
N1476,C0286,Shelter,Urgent,High
N1477,C0485,Food,Minor,Low
N1478,C0529,Shelter,Urgent,Medium
N1479,C0864,Shelter,Moderate need,Medium
N1480,C0062,Shelter,Minor,High
N1481,C0722,Financial,Urgent,Low
N1482,C0455,Financial,Urgent,High
N1483,C0483,Shelter,Urgent,High
N1484,C0310,Financial,Urgent,High
N1485,C0662,Financial,Minor,Medium
N1486,C0502,Medical,Minor,High
N1487,C0021,Food,Moderate need,Low
N1488,C0220,Financial,Minor,Low
N1489,C0677,Shelter,Moderate need,Low
N1490,C0621,Food,Minor,Medium
N1491,C0225,Shelter,Urgent,Medium
N1492,C0429,Financial,Minor,Medium
N1493,C0509,Food,Minor,Low
N1494,C0619,Food,Minor,Low
N1495,C0228,Food,Minor,High
N1496,C0353,Shelter,Minor,Medium
N1497,C0609,Food,Moderate need,Low
N1498,C0790,Medical,Urgent,Medium
N1499,C0670,Food,Urgent,Low
N1500,C0789,Medical,Minor,High
N1501,C0234,Food,Moderate need,Medium
N1502,C0272,Shelter,Minor,Low
N1503,C0175,Financial,Minor,High
N1504,C0770,Shelter,Urgent,High
N1505,C0415,Food,Minor,High
N1506,C0762,Food,Moderate need,High
N1507,C0888,Shelter,Moderate need,Medium
N1508,C0306,Food,Minor,Medium
N1509,C0108,Medical,Moderate need,Medium
N1510,C0052,Food,Moderate need,Medium
N1511,C0772,Medical,Urgent,Medium
N1512,C0673,Shelter,Moderate need,Low
N1513,C0141,Financial,Urgent,Medium
N1514,C0093,Financial,Moderate need,High
N1515,C0579,Shelter,Urgent,Medium
N1516,C0660,Financial,Moderate need,Medium
N1517,C0192,Financial,Urgent,High
N1518,C0106,Financial,Moderate need,Medium
N1519,C0598,Medical,Moderate need,High
N1520,C0559,Financial,Minor,High
N1521,C0220,Medical,Minor,Low
N1522,C0707,Financial,Urgent,Medium
N1523,C0358,Shelter,Urgent,Medium
N1524,C0504,Shelter,Moderate need,Low
N1525,C0840,Medical,Moderate need,High
N1526,C0083,Food,Urgent,High
N1527,C0788,Medical,Minor,Medium
N1528,C0372,Financial,Moderate need,Low
N1529,C0397,Shelter,Moderate need,Medium
N1530,C0569,Shelter,Urgent,Medium
N1531,C0879,Financial,Urgent,High
N1532,C0387,Shelter,Minor,Low
N1533,C0297,Shelter,Minor,Medium
N1534,C0195,Financial,Urgent,Medium
N1535,C0044,Medical,Minor,High
N1536,C0839,Shelter,Urgent,Medium
N1537,C0856,Food,Minor,Low
N1538,C0233,Shelter,Urgent,High
N1539,C0788,Shelter,Minor,High
N1540,C0767,Shelter,Urgent,Low
N1541,C0875,Food,Minor,Medium
N1542,C0597,Financial,Urgent,Medium
N1543,C0306,Shelter,Minor,Low
N1544,C0416,Food,Urgent,Medium
N1545,C0639,Shelter,Urgent,Medium
N1546,C0508,Shelter,Urgent,Medium
N1547,C0848,Medical,Minor,Low
N1548,C0267,Financial,Minor,Low
N1549,C0072,Food,Urgent,Medium
N1550,C0610,Shelter,Urgent,Medium
N1551,C0828,Medical,Moderate need,High
N1552,C0457,Financial,Moderate need,Low
N1553,C0378,Medical,Minor,Low
N1554,C0898,Food,Moderate need,High
N1555,C0474,Financial,Urgent,Low
N1556,C0230,Shelter,Minor,High
N1557,C0479,Food,Minor,High
N1558,C0425,Shelter,Urgent,Low
N1559,C0671,Food,Minor,Low
N1560,C0471,Financial,Minor,Low
N1561,C0192,Shelter,Moderate need,Medium
N1562,C0757,Food,Moderate need,High
N1563,C0228,Financial,Minor,Low
N1564,C0635,Financial,Urgent,High
N1565,C0062,Medical,Minor,Medium
N1566,C0604,Food,Minor,Medium
N1567,C0399,Shelter,Minor,Low
N1568,C0268,Medical,Moderate need,Low
N1569,C0036,Medical,Moderate need,High
N1570,C0828,Medical,Moderate need,High
N1571,C0785,Financial,Moderate need,Low
N1572,C0802,Food,Moderate need,Medium
N1573,C0563,Medical,Urgent,Medium
N1574,C0659,Food,Minor,Low
N1575,C0877,Shelter,Moderate need,High
N1576,C0691,Medical,Urgent,Medium
N1577,C0150,Food,Urgent,Low
N1578,C0348,Financial,Urgent,Low
N1579,C0711,Shelter,Urgent,Medium
N1580,C0814,Shelter,Moderate need,High
N1581,C0866,Medical,Moderate need,Low
N1582,C0050,Financial,Urgent,High
N1583,C0818,Financial,Moderate need,Low
N1584,C0113,Shelter,Minor,Medium
N1585,C0419,Medical,Moderate need,High
N1586,C0879,Shelter,Urgent,Low
N1587,C0839,Food,Urgent,High
N1588,C0311,Food,Urgent,Medium
N1589,C0056,Food,Minor,High
N1590,C0258,Shelter,Minor,Medium
N1591,C0012,Medical,Urgent,Low
N1592,C0693,Food,Urgent,High
N1593,C0328,Financial,Urgent,Low
N1594,C0430,Food,Minor,Medium
N1595,C0362,Financial,Urgent,Low
N1596,C0176,Medical,Moderate need,Medium
N1597,C0235,Financial,Urgent,Low
N1598,C0575,Financial,Urgent,Medium
N1599,C0154,Financial,Urgent,Medium
N1600,C0392,Shelter,Moderate need,Medium
N1601,C0358,Financial,Minor,Low
N1602,C0658,Food,Minor,High
N1603,C0894,Food,Minor,Low
N1604,C0216,Shelter,Urgent,Low
N1605,C0635,Shelter,Moderate need,High
N1606,C0602,Food,Minor,Low
N1607,C0749,Food,Urgent,Low
N1608,C0293,Food,Urgent,High
N1609,C0589,Shelter,Minor,Low
N1610,C0832,Financial,Minor,Low
N1611,C0286,Medical,Minor,Medium
N1612,C0053,Food,Urgent,High
N1613,C0856,Food,Urgent,Medium
N1614,C0253,Financial,Moderate need,Low
N1615,C0793,Medical,Moderate need,High
N1616,C0520,Food,Minor,Medium
N1617,C0746,Medical,Minor,Medium
N1618,C0375,Shelter,Urgent,Low
N1619,C0586,Financial,Urgent,Low
N1620,C0262,Financial,Moderate need,High
N1621,C0038,Medical,Minor,Low
N1622,C0797,Financial,Urgent,Medium
N1623,C0479,Food,Urgent,Medium
N1624,C0081,Food,Urgent,Low
N1625,C0643,Medical,Minor,Low
N1626,C0395,Shelter,Moderate need,Medium
N1627,C0852,Financial,Moderate need,Medium
N1628,C0630,Food,Moderate need,Low
N1629,C0293,Shelter,Moderate need,High
N1630,C0062,Shelter,Minor,High
N1631,C0270,Medical,Moderate need,Low
N1632,C0387,Financial,Urgent,High
N1633,C0065,Medical,Minor,Medium
N1634,C0629,Financial,Minor,High
N1635,C0071,Medical,Urgent,Low
N1636,C0474,Shelter,Urgent,High
N1637,C0016,Financial,Minor,Low
N1638,C0615,Medical,Moderate need,Low
N1639,C0891,Shelter,Moderate need,Low
N1640,C0652,Medical,Urgent,High
N1641,C0657,Food,Minor,Low
N1642,C0877,Food,Minor,High
N1643,C0736,Financial,Moderate need,Medium
N1644,C0143,Food,Urgent,Medium
N1645,C0017,Food,Urgent,High
N1646,C0160,Financial,Moderate need,Medium
N1647,C0046,Financial,Moderate need,Low
N1648,C0015,Financial,Minor,Low
N1649,C0402,Medical,Moderate need,High
N1650,C0767,Medical,Urgent,Medium
N1651,C0516,Food,Minor,High
N1652,C0485,Food,Urgent,High
N1653,C0283,Medical,Moderate need,High
N1654,C0028,Medical,Moderate need,High
N1655,C0617,Food,Minor,High
N1656,C0510,Shelter,Urgent,High
N1657,C0273,Shelter,Minor,High
N1658,C0321,Food,Moderate need,Medium
N1659,C0115,Medical,Moderate need,High
N1660,C0315,Shelter,Moderate need,High
N1661,C0240,Medical,Urgent,Low
N1662,C0227,Medical,Urgent,Low
N1663,C0351,Food,Urgent,Medium
N1664,C0599,Food,Urgent,Medium
N1665,C0507,Medical,Moderate need,High
N1666,C0030,Shelter,Minor,Medium
N1667,C0189,Financial,Minor,Medium
N1668,C0634,Food,Urgent,High
N1669,C0611,Financial,Urgent,High
N1670,C0419,Food,Minor,High
N1671,C0750,Food,Urgent,High
N1672,C0316,Medical,Minor,Medium
N1673,C0296,Food,Minor,Low
N1674,C0118,Medical,Minor,Medium
N1675,C0593,Shelter,Urgent,Medium
N1676,C0163,Financial,Urgent,Low
N1677,C0132,Food,Urgent,High
N1678,C0081,Medical,Minor,Low
N1679,C0378,Shelter,Urgent,High
N1680,C0698,Food,Urgent,Medium
N1681,C0151,Shelter,Minor,Low
N1682,C0022,Financial,Moderate need,High
N1683,C0592,Food,Minor,Low
N1684,C0016,Medical,Moderate need,Medium
N1685,C0235,Food,Minor,Medium
N1686,C0479,Financial,Minor,Medium
N1687,C0030,Financial,Minor,High
N1688,C0003,Financial,Urgent,Low
N1689,C0144,Food,Moderate need,Low
N1690,C0192,Shelter,Moderate need,Medium
N1691,C0099,Food,Minor,High
N1692,C0096,Financial,Minor,Low
N1693,C0803,Financial,Minor,Low
N1694,C0763,Shelter,Minor,Low
N1695,C0103,Financial,Moderate need,Medium
N1696,C0085,Financial,Urgent,High
N1697,C0579,Financial,Urgent,Low
N1698,C0330,Food,Urgent,High
N1699,C0217,Shelter,Minor,High
N1700,C0230,Financial,Minor,Medium
N1701,C0737,Medical,Minor,High
N1702,C0871,Medical,Urgent,Medium
N1703,C0760,Shelter,Urgent,Medium
N1704,C0707,Medical,Moderate need,Low
N1705,C0647,Food,Moderate need,High
N1706,C0077,Medical,Minor,Low
N1707,C0011,Financial,Moderate need,Low
N1708,C0115,Medical,Minor,Medium
N1709,C0828,Shelter,Urgent,Medium
N1710,C0294,Food,Moderate need,Low
N1711,C0064,Shelter,Urgent,High
N1712,C0368,Medical,Urgent,Low
N1713,C0651,Financial,Urgent,Low
N1714,C0244,Shelter,Moderate need,Low
N1715,C0209,Financial,Minor,Low
N1716,C0393,Food,Minor,High
N1717,C0808,Financial,Moderate need,Low
N1718,C0060,Financial,Urgent,Medium
N1719,C0765,Medical,Moderate need,High
N1720,C0810,Medical,Moderate need,High
N1721,C0060,Food,Urgent,Medium
N1722,C0321,Medical,Moderate need,Low
N1723,C0129,Financial,Minor,High
N1724,C0583,Medical,Moderate need,Medium
N1725,C0186,Shelter,Minor,Low
N1726,C0452,Food,Moderate need,Medium
N1727,C0697,Financial,Moderate need,Low
N1728,C0689,Medical,Minor,Low
N1729,C0293,Financial,Moderate need,High
N1730,C0233,Medical,Moderate need,High
N1731,C0589,Financial,Moderate need,Low
N1732,C0352,Financial,Urgent,High
N1733,C0083,Medical,Minor,High
N1734,C0652,Shelter,Urgent,Medium
N1735,C0586,Medical,Moderate need,Low
N1736,C0251,Shelter,Minor,High
N1737,C0188,Shelter,Moderate need,High
N1738,C0079,Shelter,Minor,Medium
N1739,C0666,Shelter,Moderate need,Medium
N1740,C0796,Food,Urgent,High
N1741,C0565,Food,Urgent,Medium
N1742,C0852,Financial,Urgent,Medium
N1743,C0195,Financial,Moderate need,Low
N1744,C0353,Shelter,Minor,Low
N1745,C0276,Medical,Moderate need,High
N1746,C0803,Food,Moderate need,Low
N1747,C0784,Financial,Urgent,High
N1748,C0004,Medical,Minor,Medium
N1749,C0091,Financial,Urgent,High
N1750,C0693,Food,Minor,High
N1751,C0183,Shelter,Minor,Low
N1752,C0037,Food,Minor,Medium
N1753,C0637,Medical,Urgent,Medium
N1754,C0755,Food,Urgent,High
N1755,C0452,Financial,Minor,Low
N1756,C0676,Medical,Moderate need,High
N1757,C0081,Medical,Urgent,High
N1758,C0174,Shelter,Minor,High
N1759,C0333,Financial,Moderate need,Medium
N1760,C0211,Medical,Urgent,Medium
N1761,C0219,Medical,Minor,High
N1762,C0144,Financial,Minor,Medium
N1763,C0230,Shelter,Minor,High
N1764,C0250,Medical,Moderate need,Low
N1765,C0533,Food,Moderate need,Low
N1766,C0320,Food,Urgent,High
N1767,C0152,Financial,Minor,High
N1768,C0060,Medical,Moderate need,High
N1769,C0823,Financial,Minor,Low
N1770,C0697,Financial,Urgent,Medium
N1771,C0645,Medical,Minor,Low
N1772,C0768,Financial,Urgent,High
N1773,C0090,Financial,Urgent,Low
N1774,C0780,Medical,Moderate need,Medium
N1775,C0782,Financial,Moderate need,High
N1776,C0312,Medical,Minor,Low
N1777,C0790,Shelter,Moderate need,Medium
N1778,C0671,Shelter,Minor,High
N1779,C0721,Medical,Urgent,Medium
N1780,C0609,Medical,Moderate need,Low
N1781,C0289,Financial,Urgent,Medium
N1782,C0391,Shelter,Minor,Medium
N1783,C0709,Food,Moderate need,Low
N1784,C0203,Financial,Minor,Low
N1785,C0852,Financial,Minor,High
N1786,C0232,Food,Minor,High
N1787,C0432,Food,Minor,High
N1788,C0715,Food,Urgent,Medium
N1789,C0028,Food,Urgent,High
N1790,C0552,Food,Minor,Medium
N1791,C0481,Food,Minor,Low
N1792,C0242,Shelter,Minor,Low
N1793,C0463,Food,Minor,Medium
N1794,C0145,Medical,Urgent,High
N1795,C0304,Food,Moderate need,Low
N1796,C0036,Medical,Minor,Medium
N1797,C0325,Medical,Urgent,Medium
N1798,C0510,Medical,Urgent,Low
N1799,C0178,Food,Minor,Medium
N1800,C0432,Shelter,Minor,Medium
